State,New Jersey,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
NJ,Keyword,Grade/Area,,,
NJ,Religion/Religious,by the end of 8,World History/Global Studies,6.2.8.HistoryCC.2.b:,"Analyze the impact of religion on daily life, government, and culture in various early river valley civilizations."
NJ,Religion/Religious,by the end of 8,World History/Global Studies,Era 3.,"The Classical Civilizations of the Mediterranean World, India, and China (1000 BCE 600 CE) Classical civilizations (i.e., Greece, Rome, India and China) developed and expanded into empires of unprecedented size and diversity by creating centralized governments and promoting commerce, a common culture, and social values. Cultural exchange and diffusion dramatically increased, and enduring world religions emerged, during the era of classical civilizations. Classical civilizations declined as a result of internal weaknesses and external invasions, but they left lasting legacies for future civilizations."
NJ,Religion/Religious,by the end of 8,World History/Global Studies,6.2.8.HistoryCC.3.a:,"Determine the extent to which religion, economic issues, and conflict shaped the values and decisions of the classical civilizations."
NJ,Religion/Religious,by the end of 8,World History/Global Studies,6.2.8.HistoryUP.3.c:,"Compare and contrast the tenets of various world religions that developed in or around this time period (i.e., Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, and Taoism), their patterns of expansion, and their responses to the current challenges of globalization."
NJ,Religion/Religious,by the end of 8,World History/Global Studies,6.2.8.CivicsPI.4.a:,Analyze the role of religion and other means rulers used to unify and centrally govern expanding territories with diverse populations.
NJ,Religion/Religious,by the end of 8,World History/Global Studies,6.2.8.GeoGI.4.a:,"Determine how Africa s physical geography and natural resources presented challenges and opportunities for trade, development, and the spread of religion."
NJ,Religion/Religious,by the end of 8,World History/Global Studies,6.2.8.HistoryCC.4.c:,"Assess the demographic, economic, and religious impact of the plague on Europe."
NJ,Religion/Religious,by the end of 8,World History/Global Studies,6.2.8.HistoryCC.4.d:,"Analyze the causes and outcomes of the Crusades from different perspectives, including the perspectives of European political and religious leaders, the crusaders, Jews, Muslims, and traders."
NJ,Religion/Religious,by the end of 8,World History/Global Studies,6.2.8.HistoryCC.4.f:,Analyze the role of religion and economics in shaping each empire s social hierarchy and evaluate the impact these hierarchical structures had on the lives of various groups of people.
NJ,Spirit/Spiritual,NA,,,
NJ,Holiday,NA,,,
NJ,Christian/Christmas,by the end of 8,World History/Global Studies,6.2.8.HistoryUP.3.c:,"Compare and contrast the tenets of various world religions that developed in or around this time period (i.e., Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, and Taoism), their patterns of expansion, and their responses to the current challenges of globalization."
NJ,Muslim/Islam/Ramadan,by the end of 8,World History/Global Studies,6.2.8.HistoryCC.4.d:,"Analyze the causes and outcomes of the Crusades from different perspectives, including the perspectives of European political and religious leaders, the crusaders, Jews, Muslims, and traders."
NJ,Muslim/Islam/Ramadan,by the end of 8,World History/Global Studies,6.2.8.HistoryUP.3.c:,"Compare and contrast the tenets of various world religions that developed in or around this time period (i.e., Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, and Taoism), their patterns of expansion, and their responses to the current challenges of globalization."
NJ,Muslim/Islam/Ramadan,by the end of 8,World History/Global Studies,6.2.8.GeoHP.4.a:,"Explain why the Arabian Peninsula s physical features and location made it the epicenter of Afro-Eurasian trade and fostered the spread of Islam into Africa, Europe, and Asia."
NJ,Muslim/Islam/Ramadan,by the end of 8,World History/Global Studies,6.2.8.GeoHP.4.c:,"Use maps to show how the interaction between the Islamic world and medieval Europe increased trade, enhanced technology innovation and impacted science, thought, and the arts."
NJ,Muslim/Islam/Ramadan,by the end of 8,World History/Global Studies,6.2.8.HistoryCC.4.e:,Determine the extent to which the Byzantine Empire influenced the Islamic world and western Europe.
NJ,Muslim/Islam/Ramadan,by the end of 8,World History/Global Studies,6.2.8.HistoryCC.4.g:,"Evaluate the importance and enduring legacy of the major achievements of the people living Asia, Africa (Islam), Europe and the Americas over time."
NJ,Jew/Judaism/Hanukah/Holocaust,by the end of 8,World History/Global Studies,6.2.8.CivicsDP.3.a:,"Compare and contrast the American legal system with the legal systems of classical civilizations and determine the extent to which these early systems influenced our current legal system (e.g., Babylonian Code of Hammurabi, Roman Justinian Code, Israelite Jewish Law)."
NJ,Jew/Judaism/Hanukah/Holocaust,by the end of 8,World History/Global Studies,6.2.8.HistoryUP.3.c:,"Compare and contrast the tenets of various world religions that developed in or around this time period (i.e., Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, and Taoism), their patterns of expansion, and their responses to the current challenges of globalization."
NJ,Jew/Judaism/Hanukah/Holocaust,by the end of 8,World History/Global Studies,6.2.8.HistoryCC.4.d:,"Analyze the causes and outcomes of the Crusades from different perspectives, including the perspectives of European political and religious leaders, the crusaders, Jews, Muslims, and traders."
NJ,Hindu,by the end of 8,World History/Global Studies,6.2.8.HistoryUP.3.c:,"Compare and contrast the tenets of various world religions that developed in or around this time period (i.e., Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, and Taoism), their patterns of expansion, and their responses to the current challenges of globalization."
NJ,Buddhism,by the end of 8,World History/Global Studies,6.2.8.HistoryUP.3.c:,"Compare and contrast the tenets of various world religions that developed in or around this time period (i.e., Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, and Taoism), their patterns of expansion, and their responses to the current challenges of globalization."
NJ,Sikh,by the end of 8,World History/Global Studies,6.2.8.HistoryUP.3.c:,"Compare and contrast the tenets of various world religions that developed in or around this time period (i.e., Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, and Taoism), their patterns of expansion, and their responses to the current challenges of globalization."
NJ,Mormon,NA,,,
NJ,Genocide,NA,,,
NJ,Persecution,NA,,,
NJ,Church,NA,,,
NJ,Mosque,NA,,,
NJ,Temple,NA,,,
NJ,Synagogue,NA,,,
NJ,Pilgrim/pilgrimage,NA,,,
NJ,Mission/Missionary/missionaries,NA,,,
NJ,shaman,NA,,,
NJ,god,NA,,,
NJ,Catholic,NA,,,
NJ,Protestant,NA,,,
NJ,Theocracy/Theocratic,NA,,,
NJ,Antisemitism,NA,,,
NJ,Israelite/Hebrew,by the end of 8,World History/Global Studies,6.2.8.CivicsDP.3.a:,"Compare and contrast the American legal system with the legal systems of classical civilizations and determine the extent to which these early systems influenced our current legal system (e.g., Babylonian Code of Hammurabi, Roman Justinian Code, Israelite Jewish Law)."
NJ,Confucian,by the end of 8,World History/Global Studies,6.2.8.HistoryUP.3.c:,"Compare and contrast the tenets of various world religions that developed in or around this time period (i.e., Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, and Taoism), their patterns of expansion, and their responses to the current challenges of globalization."
NJ,Jain/Jainism,NA,,,
NJ,Tao/Taoism/Dao/Daoism,by the end of 8,World History/Global Studies,6.2.8.HistoryUP.3.c:,"Compare and contrast the tenets of various world religions that developed in or around this time period (i.e., Buddhism, Christianity, Confucianism, Hinduism, Islam, Judaism, Sikhism, and Taoism), their patterns of expansion, and their responses to the current challenges of globalization."
NJ,Shinto/Shintoism,NA,,,
