State,New Mexico,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
NM,Keyword,Grade/Area,,,
NM,Religion/Religious,6,,Theme 2:,"The Environment and Early Civilizations: Human Beginnings and Ancestral Cultures 6.26. Compare cultural, political, and religious characteristics of early river valley civilizations."
NM,Religion/Religious,6,,Theme 3:,"Classical Eastern and Western Civilizations 6.39. Describe the interactions of religious and philosophical perspectives and explain their impact on European, Asian, and African societies during the classical period."
NM,Religion/Religious,6,,Theme 4:,Post-classical Societies and Trade Networks 6.41. Identify and compare the movement of key religions and philosophies over time.
NM,Religion/Religious,6,,6.43.,"Explain how religion and philosophy shaped European, Asian, and African societies during the postclassical period."
NM,Religion/Religious,7,,Theme 4:,The Spaniards Enter the Americas (c. 1490s CE c. 1590s CE) 7.43. Explain the political and religious motivations of Spaniards as they encounter the Indigenous peoples of the Americas.
NM,Religion/Religious,8,,Theme 2:,"Age of Exploration and Exploitation (c. 1400 CE 1500 CE) 8.38. Examine the impact of historical cultural, economic, political, religious, and social factors that resulted in unequal power relations among identity groups between c. 1400 CE and 1500 CE."
NM,Religion/Religious,8,,Theme 3:,"Colonization (1490 CE 1750 CE) 8.46. Identify and analyze cultural, differently abled, ethnic, gender, national, political, racial, and religious identities and related perceptions and behaviors by society of these identities."
NM,Religion/Religious,8,,Theme 4:,"Causes, Events, and Impact of the American Revolution (1763 CE 1787 CE) 8.53. Discuss the role of religion in the Thirteen Colonies and its impact on developing American identity."
NM,Religion/Religious,8,,Theme 6:,"Expansion and Displacement (1815 CE 1850 CE) 8.73. Examine the role assimilation plays in the loss of cultural, ethnic, racial, and religious identities and language."
NM,Spirit/Spiritual,NA,,,
NM,Holiday,NA,,,
NM,Christian/Christmas,6,,6.52.,"Examine and explain how the perspectives and encounters between Christians, Muslims, and Jews impacted individuals and society."
NM,Muslim/Islam/Ramadan,6,,6.52.,"Examine and explain how the perspectives and encounters between Christians, Muslims, and Jews impacted individuals and society."
NM,Jew/Judaism/Hanukah/Holocaust,6,,6.52.,"Examine and explain how the perspectives and encounters between Christians, Muslims, and Jews impacted individuals and society."
NM,Hindu,NA,,,
NM,Buddhism,NA,,,
NM,Sikh,NA,,,
NM,Mormon,NA,,,
NM,Genocide,NA,,,
NM,Persecution,NA,,,
NM,Church,NA,,,
NM,Mosque,NA,,,
NM,Temple,NA,,,
NM,Synagogue,NA,,,
NM,Pilgrim/pilgrimage,NA,,,
NM,Mission/Missionary/missionaries,NA,,,
NM,shaman,NA,,,
NM,god,NA,,,
NM,Catholic,NA,,,
NM,Protestant,NA,,,
NM,Theocracy/Theocratic,NA,,,
NM,Antisemitism,NA,,,
NM,Israelite/Hebrew,NA,,,
NM,Confucian,NA,,,
NM,Jain/Jainism,NA,,,
NM,Tao/Taoism/Dao/Daoism,NA,,,
NM,Shinto/Shintoism,NA,,,
