State,North Dakota,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
ND,Keyword,Grade/Area,,,
ND,Religion/Religious,6-12,Geography,G.6_12.3.1,"Differences and similarities in the following languages, religions, ethnic groups, economic systes, governmental systems, daily life of men and women, social activities, cultral traditions, etc."
ND,Religion/Religious,6-12,Geography,G.6_12.3.4,"Control of resources, imperialism, economic factors, religious differences, power imbalances, distribution of wealth"
ND,Religion/Religious,6-12,Geography,US.6_12.1-6.E2.1,"Analyze the impacts of social, religious, and/or cultural movements."
ND,Religion/Religious,6-12,World History,Era 1:,"Emergence of Civilizations and Religions Around the Globe. WH.6_12.2 Explain historical changes related to religions and ideologies,"
ND,Religion/Religious,6-12,World History,WH.6-12.1-6.E1.2,Describe the belief systems or religions of early civilizations.
ND,Religion/Religious,6-12,World History,Era 2:,Middle Ages and the Renaissance. WH.6_12.2 Explain historical changes related to religions and ideologies.
ND,Religion/Religious,6-12,World History,WH.6_12.1-6.E2.2,"Explain how the relationship between religious and political bodies impacted the social, cultural, or economic developments of individuals."
ND,Religion/Religious,6-12,World History,Era 3:,"Age of Revolutions. WH.6_12.2 Explain historical changes related to religions and ideologies, WH.6_12.1-6.E3.1 Explain the causes and global effects of religious division."
ND,Religion/Religious,6-12,Sociology,Guiding,"topics: family, school, government, religion, economy, social statuses, roles"
ND,Religion/Religious,6-12,Sociology,Domain,"3: Social Relationships. Guiding topics: Primary agents of socialization (i.e., school, family, religion, mass media, peers, etc.)"
ND,Spirit/Spiritual,K-12,Appendix,Inquiry,"Design Model (IDM) Blueprint. ""North Dakota Tribal Government.""North Dakota has several reservations in the state. How do the tribal governments work at Standing Rock, Spirit Lake, Turtle Mountain and Three Affiliated Tribes?"
ND,Spirit/Spiritual,K-12,Appendix,NDNAEU,"1: Sacred Relatives | How We Relate to Everything Native people practice a deep interconnectedness with the land, the resources, the water, all living things and all human beings. Land stewardship, respect for all two-legged, four-legged, winged, crawlers and swimmers and a strong belief in the sacredness of all human beings are key elements of ourspirituality."
ND,Holiday,NA,,,
ND,Christian/Christmas,6-12,World History,Era 1:,"Emergence of Civilizations and Religions Around the Globe. Guiding Topics: Mythology, Hinduism, Sikhism, Buddhism, Daoism, Christianity, Confucianism, Islam, Judaism, etc."
ND,Christian/Christmas,6-12,World History,Era 2:,"Middle Ages and the Renaissance. Guiding Topics: Rise of Islam, importance of Christianity in Europe, monasteries preserving classical texts, differences between Medieval and Renaissance culture"
