Rhode Island,,,,,
Format of Standards Document,chart,,,,
Keyword,Grade/Area,Inquiry Topic,Standard Number,Content Standard,Guiding Questions/Assessment Objective
Religion/Religious,6,2. Human Origins and the Development of Complex Societies2,SS6.2.1,SS6.2.1 Environment and early humans: Analyze the development of early humans and the characteristics of early human societies,"GQ: What does evidence of art, language, and religion tell us about Homo sapiens? AO: Identify the characteristics of early Homo sapiens (e.g., art, language, religion), and explain how these characteristics lead to our understanding of how they lived and how culture developed"
Religion/Religious,6,2. Human Origins and the Development of Complex Societies,SS6.2.3,"Development of complex societies: Analyze the development of complex societies, their characteristics, and interactions with one another","AO: Identify the characteristics of a complex society (e.g., economy that produces food surplus and ability to store food surplus, specialized jobs, systems for government, religion, art, technology) and analyze how those characteristics influenced social life AO: Analyze the interaction between and spread of complex societies (e.g., migration, trade, agriculture, exchange of culture and/or language, religious conversion, colonization)"
Religion/Religious,6,3. The First States (4000 - 1200 BCE),SS6.3.1,"Early river valley civilizations: Analyze the development of early cities, states, and empires, and the role of trade between the entities","AO: Identify early river cities on a map (e.g., Mesopotamia, Old Kingdom Egypt, Indus Valley, Yellow and Yangzi River basin), and analyze their government structures, leaders, laws, economic systems, religion and belief systems, social hierarchies, technological and social innovations, and relationship to the environment"
Religion/Religious,6,3. The First States (4000 - 1200 BCE),SS6.3.2,Nomads and territorial states Analyze the interaction between nomads and their environments as well as the development of new states throughout Afro-Eurasia,"AO: Identify the locations of territorial states (e.g., Middle Kingdom Egypt, Mesopotamia Kingship, Vedic peoples, Shang State), and analyze their ethnic identity, government, and techniques of coexistence with other territorial states, response to environmental changes, trade networks, labor systems, and religion"
Religion/Religious,6,5: Encounters in the Afro-Eurasian World (350 BCE - 300 CE),SS6.5.2,Connecting the Afro-Eurasian Regions: Argue the impact of the influence of trade routes in connecting the Afro-Eurasian regions,"Analyze the development and use of the Silk Road and the role of caravan cities, and argue the impacts of the economic, cultural, and religious changes it brought"
Religion/Religious,6,Inquiry Topic 6: Rise and Influence of World Religions Compelling Question: Does religion define a people?,SS6.6.1,Comparison of world religions: Argue the impacts of the five major world religions on the development of societies and cultures through time,"Guiding Questions for Instruction: What were the beliefs and religious practices of each religion? How did religious practices change and develop over time? How did the environment, history of the religion s people, and their interactions with other societies shape the religion? How did each of the major religions influence the development of society and culture? AO: a. Analyze the definition and characteristics of universalizing religion b. Analyze the beliefs and religious practices of Hinduism, Judaism, Buddhism, Christianity, and Islam, their development, and how they changed over time (e.g., central teachings, influence of the environment on teachings, social stratification within the religion, religious texts, religious observations)"
Religion/Religious,6,Inquiry Topic 6: Rise and Influence of World Religions Compelling Question: Does religion define a people?,SS6.6.2,Localized belief systems and cultures Argue the influences of other belief systems throughout the ancient world on society and culture,"Guiding Questions for Instruction: What were the beliefs and religious practices of each religion and how did they change over time? How and why is there a relationship between political unity and religious development in these religions? AO: Explain the beliefs and religious practices of Bantus of Sub-Saharan Africa, Teotihuacanos of Mesoamerica, and Mayans in the Yucatan and their development, and analyze how they changed over time (e.g., central teachings, influence of the environment on teachings, social stratification within the religion, religious texts, religious observations)"
Religion/Religious,6,7: Global Trade (300 CE - 1300 CE),SS6.7.1,Expansion of territory: Argue the impact of the expansion of territorial influence across Afro-Eurasian regions from 300-1300 CE,"GQ: What was the relationship between religion, empire, and commercial exchange across Africa, Europe, and Asia during this period?"
