State,Rhode Island,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
RI,Format of Standards Document,chart,,,
RI,Keyword,Grade/Area,Inquiry Topic,Standard Number,Guiding Questions/Assessment Objective
RI,Religion/Religious,6,2. Human Origins and the Development of Complex Societies2,SS6.2.1,"GQ: What does evidence of art, language, and religion tell us about Homo sapiens? AO: Identify the characteristics of early Homo sapiens (e.g., art, language, religion), and explain how these characteristics lead to our understanding of how they lived and how culture developed"
RI,Religion/Religious,6,2. Human Origins and the Development of Complex Societies,SS6.2.3,"AO: Identify the characteristics of a complex society (e.g., economy that produces food surplus and ability to store food surplus, specialized jobs, systems for government, religion, art, technology) and analyze how those characteristics influenced social life AO: Analyze the interaction between and spread of complex societies (e.g., migration, trade, agriculture, exchange of culture and/or language, religious conversion, colonization)"
RI,Religion/Religious,6,3. The First States (4000 - 1200 BCE),SS6.3.1,"AO: Identify early river cities on a map (e.g., Mesopotamia, Old Kingdom Egypt, Indus Valley, Yellow and Yangzi River basin), and analyze their government structures, leaders, laws, economic systems, religion and belief systems, social hierarchies, technological and social innovations, and relationship to the environment"
RI,Religion/Religious,6,3. The First States (4000 - 1200 BCE),SS6.3.2,"AO: Identify the locations of territorial states (e.g., Middle Kingdom Egypt, Mesopotamia Kingship, Vedic peoples, Shang State), and analyze their ethnic identity, government, and techniques of coexistence with other territorial states, response to environmental changes, trade networks, labor systems, and religion"
RI,Religion/Religious,6,5: Encounters in the Afro-Eurasian World (350 BCE - 300 CE),SS6.5.2,"Analyze the development and use of the Silk Road and the role of caravan cities, and argue the impacts of the economic, cultural, and religious changes it brought"
RI,Religion/Religious,6,Inquiry Topic 6: Rise and Influence of World Religions Compelling Question: Does religion define a people?,SS6.6.1,"Guiding Questions for Instruction: What were the beliefs and religious practices of each religion? How did religious practices change and develop over time? How did the environment, history of the religion s people, and their interactions with other societies shape the religion? How did each of the major religions influence the development of society and culture? AO: a. Analyze the definition and characteristics of universalizing religion b. Analyze the beliefs and religious practices of Hinduism, Judaism, Buddhism, Christianity, and Islam, their development, and how they changed over time (e.g., central teachings, influence of the environment on teachings, social stratification within the religion, religious texts, religious observations)"
RI,Religion/Religious,6,Inquiry Topic 6: Rise and Influence of World Religions Compelling Question: Does religion define a people?,SS6.6.2,"Guiding Questions for Instruction: What were the beliefs and religious practices of each religion and how did they change over time? How and why is there a relationship between political unity and religious development in these religions? AO: Explain the beliefs and religious practices of Bantus of Sub-Saharan Africa, Teotihuacanos of Mesoamerica, and Mayans in the Yucatan and their development, and analyze how they changed over time (e.g., central teachings, influence of the environment on teachings, social stratification within the religion, religious texts, religious observations)"
RI,Religion/Religious,6,7: Global Trade (300 CE - 1300 CE),SS6.7.1,"GQ: What was the relationship between religion, empire, and commercial exchange across Africa, Europe, and Asia during this period?"
