State,South Carolina,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
SC,Keyword,Grade/Area,Theme/Concept,Standard /Enduring Understanding,Indicator
SC,Religion/Religious,,,**include the enduring understanding if especially relevant or contains key word,
SC,Religion/Religious,6,Civilizations,Standard 1: Demonstrate an understanding of the organization and transformation(s) of world civilizations to 550.,"Contextualize the origins and spread of major world religions and their enduring influence. This indicator was designed to promote inquiry into the development, basic tenets, and impact of Buddhism, Christianity, Confucianism, Daoism, Hinduism, Islam, and Judaism in relation to place and time."
SC,Religion/Religious,7,Africa,"Standard 1: Analyze the cultural, economic, environmental, physical, political, and population geographies of contemporary Africa.","Compare and contrast the dynamic physical and human conditions that lead to the creation of ethnic, gender, language, and religious landscapes of African societies."
SC,Religion/Religious,7,Asia,"Standard 2: Analyze the cultural, economic, environmental, physical, political, and population geographies of contemporary Asia.","Compare and contrast the dynamic physical and human conditions that lead to the creation of ethnic, gender, language, and religious landscapes of Australia, Oceania, and Antarctica."
SC,Religion/Religious,7,Europe,"Standard 4: Analyze the cultural, economic, environmental, physical, political, and population geographies of contemporary Europe.","Compare and contrast the dynamic physical and human conditions that lead to the creation of ethnic, gender, language, and religious landscapes of European societies."
SC,Religion/Religious,7,North America,"Standard 5: Analyze the cultural, economic, environmental, physical, political, and population geographies of contemporary North America.","Compare and contrast the dynamic physical and human conditions that lead to the creation of ethnic, gender, language, and religious landscapes of North American societies."
SC,Religion/Religious,7,North America,"Standard 6: Analyze the cultural, economic, environmental, physical, political, and population geographies of contemporary South America.","Compare and contrast the dynamic physical and human conditions that lead to the creation of ethnic, gender, language, and religious landscapes of South American societies."
SC,spirit/spiritual,NA,,,
SC,Holiday,NA,,,
SC,God,NA,,,
SC,Theocracy,NA,,,
SC,Christian/Christianity,6,Civilations,Standard 1: Demonstrate an understanding of the organization and transformation(s) of world civilizations to 550.,"Contextualize the origins and spread of major world religions and their enduring influence. This indicator was designed to promote inquiry into the development, basic tenets, and impact of Buddhism, Christianity, Confucianism, Daoism, Hinduism, Islam, and Judaism in relation to place and time"
SC,Christian/Christianity,**also shows up in several of the glossary terms,,,
SC,Christmas,NA,,,
