State,South Dakota,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
SD,Keyword,Grade/Area,Standard Number,Standard,Subpoint (letter at the end refers to the content area)
SD,Religion/Religious,NA,,,
SD,Religion/Religious,6,6.SS.4.,"The student demonstrates knowledge and understanding of influential ideas from ancient Asia, the Middle East, northern Africa, and the eastern Mediterranean Sea.","B. The student explains the major cultural features, stories, and civil and religious contributions of Ancient India, Babylon, Persia, and Ancient China, including the ideas of Siddhartha, Hammurabi, and Confucius. HC"
SD,Religion/Religious,,6.SS.4.,,"C. The student explains the major cultural features, stories, and civil and religious contributions of Ancient Egypt and Phoenicia, including hieroglyphic writing and the first alphabet. HC"
SD,Religion/Religious,,6.SS.4.,,"D. The student explains the major cultural features, stories, and civil and religious contributions of the ancient Hebrews, including the origins and role of the Tanakh. HC"
SD,Religion/Religious,,6.SS.4.,,"E. The student compares the monotheistic religion of the Hebrews to the traditional polytheism of the ancient world, including the belief in one god, the Decalogue, individual worth of each person, and equal moral obligations of each person regardless of class or authority. HC"
SD,Religion/Religious,,6.SS.4.,,"H. The student explains the major ideas of philosophers and religious thinkers in antiquity, including Socrates, Plato, and Aristotle, especially in terms of logical reasoning, truth, ethics, and politics. HC"
SD,Religion/Religious,6,6.SS.5.,The student demonstrates knowledge and understanding of influential ideas from the Roman Republic and the Roman Empire.,"E. The student explains the major historical events, cultural features, stories, and religious contributions of the early Christians, including the origins and role of the Bible. H"
SD,Religion/Religious,6,6.SS.5.,,"F. The student compares the religion of the Christians to that of the Hebrews and of polytheist religions, including monotheism, the Trinity, the belief in Jesus of Nazareth as divine, the redeeming of a person s sins, the individual worth of each person, and equal moral obligations of each person regardless of class or authority. H"
SD,Religion/Religious,6,6.SS.6,The student demonstrates knowledge and understanding of influential ideas from the Middle Ages.,"D. The student explains the major historical events, cultural features, stories, and religious contributions of early Muslims, including the origins and role of the Qur an, the preservation of Greek thought, and expansions in science, philosophy, and mathematics. H"
SD,Religion/Religious,6,6.SS.7.,The student demonstrates knowledge and understanding of influential ideas from the Late Middle Ages and the Reformation.,"H. The student explains the political and religious elements to the wars of religion in the 16th and 17th centuries, including the Anglo-Spanish War, the French Wars of Religion, and the Thirty Years War. H"
SD,Religion/Religious,7,7.SS.4.,"The student demonstrates knowledge and understanding of the settlement of North America by Europeans, especially that of the British.","I. The student tells the story of the founding of Plymouth and Massachusetts Bay, including: HC the religiously influenced government established by John Winthrop the meaning of John Winthrop s city upon a hill"
SD,Religion/Religious,7,7.SS.5,The student demonstrates knowledge and understanding of colonial America.,"D. The student explains the status and effects of each of the following in colonial society, and the extents to which these were the exception in history: private property, free enterprise, education, local self-government, and religious freedom. HE"
SD,Religion/Religious,7,7.SS.5,,"E. The student explains how the American colonist was generally defined by certain traits, including being: HCE hard working frugal determined innovative literate religious skeptical of authority idealistic politically knowledgeable self-governing"
SD,Religion/Religious,7,7.SS.6.,The student demonstrates knowledge and understanding of the American Revolution.,"D. The student tells the biography of George Washington, including: H his views on education, religion, and morality as they relate to self-government"
SD,Religion/Religious,,7.SS.6.,,"E. The student tells the biography of John Adams, including: H his views on education, religion, and morality as they relate to self-government"
SD,Religion/Religious,,7.SS.8.,The student demonstrates understanding of the principles of the United States Constitution.,"B. The student tells the biography of James Madison, including his views on education, religion, and morality as they relate to self-government"
SD,Religion/Religious,8,8.SS.7.,The student demonstrates knowledge and understanding of America surrounding the Vietnam War and the cultural revolution.,"E. The student explains the reasons both philosophical and circumstantial college students in the 1960s and 1970s challenged various forms of authority, including: H traditional ideas and institutions related to religion, morality, and family life"
SD,Religion/Religious,,,,"F. The student explains how America changed during the late 20th century, including: H religious participation"
SD,Spirit(ual),8,8.SS.2.,The student demonstrates knowledge and understanding of the Gilded Age.,E. The student explains Karl Marx s main ideas on the following: HCE a spiritual reality beyond material things
SD,Holiday,NA,,,
SD,God,6,6.SS.4.,"The student demonstrates knowledge and understanding of influential ideas from ancient Asia, the Middle East, northern Africa, and the eastern Mediterranean Sea.","E. The student compares the monotheistic religion of the Hebrews to the traditional polytheism of the ancient world, including the belief in one god, the Decalogue, individual worth of each person, and equal moral obligations of each person regardless of class or authority. HC"
SD,God,7,7.SS.7.,The student demonstrates understanding of the Declaration of Independence and the arguments of leading founders.,"B. The student explains the meaning of the Laws of Nature and of Nature s God, including the founders argument that there is a standard of justice in nature that does not change and is true of all peoples in all times, and that an eternal God is responsible for this unchanging truth. C"
SD,God,,,,"C. The student explains the meaning of created equal, including the founders argument that each person is equally human and as such has the same dignity and natural rights to life, liberty, and the pursuit of happiness, that each is endowed with these rights by the God that created them, and that the existence of human slavery was understood by most, but not all, of the founders to be a contradiction of the principle of human equality. C"
SD,God,,,,"G. The student explains that the purpose of government as outlined in the Declaration of Independence is to secure these rights, meaning those fundamental rights derived from the Laws of Nature and of Nature s God. C"
SD,Theocracy,NA,,,
SD,Christian/Christianity,6,6.SS.5.,The student demonstrates knowledge and understanding of influential ideas from the Roman Republic and the Roman Empire.,C. The student explains the major ideas and events surrounding the life of Jesus of Nazareth and their historical effects. H
SD,Christian/Christianity,,,,"E. The student explains the major historical events, cultural features, stories, and religious contributions of the early Christians, including the origins and role of the Bible. H"
SD,Christian/Christianity,,,,"F. The student compares the religion of the Christians to that of the Hebrews and of polytheist religions, including monotheism, the Trinity, the belief in Jesus of Nazareth as divine, the redeeming of a person s sins, the individual worth of each person, and equal moral obligations of each person regardless of class or authority. H"
SD,Christian/Christianity,,,,"H. The student explains the role of the papacy and historical figures in establishing Christianity and Roman law in Europe and the near east, including the Christian church fathers, Arianism, the Council of Nicaea, Augustine of Hippo, and Justinian. H"
SD,Christian/Christianity,6,6.SS.6.,The student demonstrates knowledge and understanding of influential ideas from the Middle Ages.,"A. The student explains the ways in which society changed with the fall of the Roman Empire and the perpetuation of the Eastern Roman Empire in Constantinople, including the role of Christianity. H"
SD,Christian/Christianity,,,,E. The student explains the influence of Jewish and Christian views of a deity and of human beings on the colonists. HC
