State,Religion/Religious,6-8,BH1.b: Personal identity and empathy,SS.BH1.b.m,"Analyze how culture, ethnicity, race, age, religion, gender, and social class affect a person's self-image and identity and interactions with others."
WI,,6-8,BH2.a: Relationship of people and groups,SS.BH2.a.m,"Summarize the role culture plays in personal and group behavior. Categorize factors that contribute to cooperation and conflict among peoples of a country and/or the world (i.e., culture, language, religion, political beliefs)."
WI,,6-8,PS2.c: Asserting and reaffirming of human rights,SS.PS2.c.m.,"...Investigate how groups (e.g., women, religious groups, civil rights groups, indigenous peoples, LGBTQ) have advocated for access to greater rights."
WI,Spirit/Spiritual,NA,,,
WI,Holiday,NA,,,
WI,Christian/Christmas,NA,,,
WI,Muslim/Islam/Ramadan,NA,,,
WI,Jew/Judaism/Hanukah/Holocaust,History: Historical Eras and Themes,"2. Human and civil rights, including suffrage, the Universal Declaration of Human Rights, and current and historic genocide, including the Holocaust or Shoah.",,
WI,Hindu,NA,,,
WI,Buddhism,NA,,,
WI,Sikh,NA,,,
WI,Mormon,NA,,,
WI,Kwanzaa,NA,,,
WI,Genocide,History: Historical Eras and Themes,"2. Human and civil rights, including suffrage, the Universal Declaration of Human Rights, and current and historic genocide, including the Holocaust or Shoah.",,
WI,Persecution,NA,,,
WI,Church,NA,,,
WI,Mosque,NA,,,
WI,Temple,NA,,,
WI,Synagogue,NA,,,
WI,Pilgrim/pilgrimage,NA,,,
WI,Mission/Missionary/missionaries,NA,,,
WI,shaman,NA,,,
WI,god,NA,,,
WI,Theocracy,6-8,PS2.b: Fundamentals of citizenship,SS.PS2.b.m.,"Synthesize the cultural structures, types of govern- ment, and economic systems to explain differing concepts of citizenship (e.g., Confucianism, dictatorship, theocracy, republic, democracy)."
WI,Theology,NA,,,
WI,Crusades,NA,,,
WI,Catholic,NA,,,
WI,Protestant,NA,,,
WI,Theocratic,NA,,,
WI,Antisemitism,NA,,,
WI,Israelite & Hebrew,NA,,,
WI,confucianism,6-8,PS2.b: Fundamentals of citizenship,SS.PS2.b.m.,"Synthesize the cultural structures, types of govern- ment, and economic systems to explain differing concepts of citizenship (e.g., Confucianism, dictatorship, theocracy, republic, democracy)."
WI,Jain/Jainism,NA,,,
WI,Tao/Taoism/Dao/Daoism/Lao Tzu/Laozi,NA,,,
WI,Shinto/Shintoism,NA,,,
WI,Zoroastrianism,NA,,,
WI,Bahai/Baha 'i,NA,,,
