State,Religion/Religious,"Social Studies Content Standard 4 - Time, Continuity, and Change","Students analyze events, people, problems, and ideas within their historical contexts.",SS8.4.4,"Identify historical interactions between and among individuals, groups, and/or institutions (e.g., family, neighborhood, political, economic, religious, social, cultural, and workplace)."
WY,Spirit/spiritual,Social Studies Content Standard 2 - Culture and Cultural Diversity,Students demonstrate an understanding of the contributions and impacts of human interaction and cultural diversity on societies.,SS8.2.2,"Evaluate how human expression (e.g., language, literature, arts, architecture, traditions, beliefs, and spirituality) contributes to the cultural development, and understanding, and continuity (e.g., oral tradition, Pow Wows, ceremonies, and assimilation)."
WY,Spirit/spiritual,,,SS8.2.3,"Analyze the unique cultural characteristics of various groups within Wyoming and the nation, including Indigenous Tribes of Wyoming (e.g., language, traditions, spirituality, art, and lifestyle)."
WY,Holiday,NA,,,
WY,Christian/Christmas,NA,,,
WY,Muslim/Islam/Ramadan,NA,,,
WY,Jew/Judaism/Hanukah/Holocaust,NA,,,
WY,Hindu,NA,,,
WY,Buddhism,NA,,,
WY,Sikh,NA,,,
WY,Mormon,NA,,,
WY,Kwanzaa,NA,,,
WY,Genocide,NA,,,
WY,Persecution,NA,,,
WY,Church,NA,,,
WY,Mosque,NA,,,
WY,Temple,NA,,,
WY,Synagogue,NA,,,
WY,Pilgrim/pilgrimage,NA,,,
WY,Mission/Missionary/missionaries,NA,,,
WY,shaman,NA,,,
WY,god,NA,,,
